,Product Type,Issuance Amount
0,住房抵押贷款,23502.69853747879
1,融资租赁,19465.436970694005
2,个人汽车贷款,14223.148714158804
3,企业贷款,11903.508665894795
4,应收账款,10528.516443117103
5,CMBS,7896.84650000001
6,个人消费贷款,6040.392427050099
7,REITs,4790.473471000001
8,信托受益权,4573.244041960001
9,小微贷款,2389.4855450346004
10,其他,2237.232099
11,不良资产重组,2090.789743
12,保理融资,1379.1346590000003
13,小额贷款,1022.4267106899999
14,保单质押贷款,1020.0
15,票据收益权,861.3335099999999
16,两融债权,798.0
17,金融租赁,707.4963404584
18,PPP,568.6958999999999
19,住房公积金,534.2220768478999
20,委托贷款,289.695467
21,股票质押回购,227.99656869999998
22,BT项目回购,76.17
